"트렌드","검색량","시작일","종료","트렌드 분석","탐색 링크"
"아랍에미리트","100+","2026년 3월 20일 PM 7시 20분 0초 UTC+9","2026년 3월 20일 PM 8시 20분 0초 UTC+9","아랍에미리트","./explore?q=%EC%95%84%EB%9E%8D%EC%97%90%EB%AF%B8%EB%A6%AC%ED%8A%B8&geo=KR"
"lec","100+","2026년 3월 22일 AM 1시 10분 0초 UTC+9","2026년 3월 22일 AM 1시 50분 0초 UTC+9","lec","./explore?q=lec&geo=KR"
"김재원","100+","2026년 3월 20일 AM 11시 40분 0초 UTC+9","2026년 3월 20일 PM 12시 40분 0초 UTC+9","김재원","./explore?q=%EA%B9%80%EC%9E%AC%EC%9B%90&geo=KR"
"롯데콘서트홀","100+","2026년 3월 20일 PM 1시 40분 0초 UTC+9","2026년 3월 20일 PM 2시 40분 0초 UTC+9","롯데콘서트홀","./explore?q=%EB%A1%AF%EB%8D%B0%EC%BD%98%EC%84%9C%ED%8A%B8%ED%99%80&geo=KR"
"아마존","100+","2026년 3월 21일 AM 6시 30분 0초 UTC+9","2026년 3월 21일 AM 8시 20분 0초 UTC+9","아마존,amazon","./explore?q=%EC%95%84%EB%A7%88%EC%A1%B4&geo=KR"
"보험연수원","100+","2026년 3월 23일 AM 9시 10분 0초 UTC+9","2026년 3월 23일 AM 9시 40분 0초 UTC+9","보험연수원","./explore?q=%EB%B3%B4%ED%97%98%EC%97%B0%EC%88%98%EC%9B%90&geo=KR"
"유해진","100+","2026년 3월 22일 AM 10시 20분 0초 UTC+9","2026년 3월 22일 AM 10시 50분 0초 UTC+9","유해진","./explore?q=%EC%9C%A0%ED%95%B4%EC%A7%84&geo=KR"
"하나투어","200+","2026년 3월 19일 AM 11시 10분 0초 UTC+9","2026년 3월 19일 PM 12시 10분 0초 UTC+9","하나투어","./explore?q=%ED%95%98%EB%82%98%ED%88%AC%EC%96%B4&geo=KR"
"독도","100+","2026년 3월 19일 AM 11시 30분 0초 UTC+9","2026년 3월 19일 PM 12시 40분 0초 UTC+9","독도","./explore?q=%EB%8F%85%EB%8F%84&geo=KR"
"ssg","100+","2026년 3월 21일 AM 11시 0분 0초 UTC+9","2026년 3월 21일 AM 11시 50분 0초 UTC+9","ssg","./explore?q=ssg&geo=KR"
"시간","100+","2026년 3월 21일 AM 10시 50분 0초 UTC+9","2026년 3월 21일 AM 11시 50분 0초 UTC+9","시간","./explore?q=%EC%8B%9C%EA%B0%84&geo=KR"
"벚꽃 개화 시기","100+","2026년 3월 19일 PM 12시 40분 0초 UTC+9","2026년 3월 19일 PM 7시 10분 0초 UTC+9","벚꽃 개화 시기","./explore?q=%EB%B2%9A%EA%BD%83%20%EA%B0%9C%ED%99%94%20%EC%8B%9C%EA%B8%B0&geo=KR"
"에어로케이","100+","2026년 3월 19일 AM 11시 30분 0초 UTC+9","2026년 3월 19일 PM 12시 20분 0초 UTC+9","에어로케이","./explore?q=%EC%97%90%EC%96%B4%EB%A1%9C%EC%BC%80%EC%9D%B4&geo=KR"
"bfx","100+","2026년 3월 21일 AM 12시 40분 0초 UTC+9","2026년 3월 21일 AM 1시 20분 0초 UTC+9","bfx","./explore?q=bfx&geo=KR"
"리센스메디컬","100+","2026년 3월 20일 AM 10시 20분 0초 UTC+9","2026년 3월 20일 AM 11시 10분 0초 UTC+9","리센스메디컬","./explore?q=%EB%A6%AC%EC%84%BC%EC%8A%A4%EB%A9%94%EB%94%94%EC%BB%AC&geo=KR"
"제주도","100+","2026년 3월 19일 AM 11시 30분 0초 UTC+9","2026년 3월 19일 PM 2시 20분 0초 UTC+9","제주도","./explore?q=%EC%A0%9C%EC%A3%BC%EB%8F%84&geo=KR"
"꼬꼬무","100+","2026년 3월 19일 PM 11시 20분 0초 UTC+9","2026년 3월 20일 AM 12시 10분 0초 UTC+9","꼬꼬무","./explore?q=%EA%BC%AC%EA%BC%AC%EB%AC%B4&geo=KR"
"asml","100+","2026년 3월 19일 PM 5시 50분 0초 UTC+9","2026년 3월 19일 PM 6시 30분 0초 UTC+9","asml","./explore?q=asml&geo=KR"
"대한민국구석구석","100+","2026년 3월 19일 AM 11시 20분 0초 UTC+9","2026년 3월 19일 PM 12시 10분 0초 UTC+9","대한민국구석구석","./explore?q=%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EA%B5%AC%EC%84%9D%EA%B5%AC%EC%84%9D&geo=KR"
"줌","100+","2026년 3월 21일 AM 9시 20분 0초 UTC+9","2026년 3월 21일 AM 9시 50분 0초 UTC+9","줌","./explore?q=%EC%A4%8C&geo=KR"
"도미노피자","100+","2026년 3월 21일 PM 12시 50분 0초 UTC+9","2026년 3월 21일 PM 1시 40분 0초 UTC+9","도미노피자","./explore?q=%EB%8F%84%EB%AF%B8%EB%85%B8%ED%94%BC%EC%9E%90&geo=KR"
"twitch","100+","2026년 3월 21일 PM 9시 0분 0초 UTC+9","2026년 3월 21일 PM 9시 20분 0초 UTC+9","twitch","./explore?q=twitch&geo=KR"
"기아","100+","2026년 3월 21일 PM 2시 50분 0초 UTC+9","2026년 3월 21일 PM 3시 10분 0초 UTC+9","기아","./explore?q=%EA%B8%B0%EC%95%84&geo=KR"
"fm","100+","2026년 3월 22일 AM 12시 50분 0초 UTC+9","2026년 3월 22일 AM 1시 10분 0초 UTC+9","fm","./explore?q=fm&geo=KR"
"원격","100+","2026년 3월 20일 AM 9시 10분 0초 UTC+9","2026년 3월 20일 AM 9시 30분 0초 UTC+9","원격","./explore?q=%EC%9B%90%EA%B2%A9&geo=KR"
